SMILES,source,reaction_rate,ΔGMD,pKa_b_pred,Slope_CO2,time_50CO2,cas
CC(C)(CO)N(CCO)CCO,100MDamines,2.3,-57.25,8.962948497,,,70787-41-6
CC(C)CN1CCOCC1,100MDamines,0.85,-47.45,8.159242546,,,10315-98-7
CC(CO)CN1CCCC1,100MDamines,6.23,-67.23,10.22751977,,,873376-29-5
CC(O)CN(C)CC(C)O,100MDamines,1.16,-51.16,8.747807592,0.000566667,472.6,4402-30-6
CC(O)CN(CC(C)O)CC(C)O,100MDamines,2.28,-57.34,8.900186329,,,122-20-3
CC(O)CN(CCO)CC(C)O,100MDamines,1.19,-51.18,8.496018127,,,10353-86-3
CC(O)CN(CCO)CCO,100MDamines,1.02,-49.67,8.42704975,0.000233,1435,6712-98-7
CC(O)CN1CCCCC1,100MDamines,4.45,-64.23,10.17603506,,,934-90-7
CC(O)CN1CCN(C)CC1,100MDamines,4.72,-62.58,8.939877543,,,4223-94-3
CC(O)CN1CCOCC1,100MDamines,0.78,-44.01,7.264845868,,,2109-66-2
CCCCN(CC(C)O)CC(C)O,100MDamines,2.04,-56.93,9.293067059,,,4402-34-0
CCCN(CCO)CCO,100MDamines,1.57,-53.39,8.657433644,,,6735-35-9
CCN(CC)CCOCCO,100MDamines,3.2,-60.4,9.427992705,0.00084,283,140-82-9
CCN1CCOCC1,100MDamines,1.28,-50.46,8.146880691,,,100-74-3
CN(C)C1CCC(O)CC1,100MDamines,4.23,-63.22,9.947671914,,,61168-09-0
CN(C)C1CCCCC1O,100MDamines,5.75,-66.68,10.320016,,,30727-29-8
CN(C)CCSCCN(C)C,100MDamines,2.44,-56.72,8.449927863,,,3018-41-5
CN(CCCO)CCCO,100MDamines,3.07,-59.82,9.313425001,,,100-37-8
CN(CCOCCO)CCOCCO,100MDamines,1.24,-52.45,9.125255236,,,254448-29-8
CN1CCSCC1,100MDamines,1.5,-52.19,8.593966394,,,55675-72-4
OCC(CO)N1CCCCC1,100MDamines,4.23,-63.2,9.873029933,,,15433-27-9
OCCCN(CCO)CCO,100MDamines,1.71,-53.4,8.184969744,,,4767-14-0
OCCCN1CCCCC1,100MDamines,3.8,-63.41,10.33481359,,,104-58-5
OCCN1CCN(CCO)CC1,100MDamines,2.58,-55.96,7.983922872,,,122-96-3
OCCN1CCOCC1,100MDamines,0.64,-42.39,7.280251567,,,622-40-2
CCN(CC)CC(O)CCCO,100MDamines,4.64,-68.03,10.96376047,,,693288-48-1
CN(C)CC1CC(O)C(C)(C)O1,100MDamines,1.18,-50.78,8.384614006,,,1009-65-0
CN1CCC(C(O)CO)C1,100MDamines,3.73,-61.53,9.571936469,,,118870-35-2
CCCCCCCCCCN1CCOCC1,100MDamines,0.7,-44.45,7.52436096,,,25727-94-0
OCCN(CCO)C1CCCCC1O,100MDamines,2.08,-57.05,9.447991206,,,437999-32-1
CC(C)CN(CCS)CC(C)C,100MDamines,3.01,-62.8,10.41315746,,,1440031
CN(C)CC(CO)(CO)CO,100MDamines,1.86,-56.1,9.419072076,,,854652-99-6
CSCCCCC(C(C)C)N1CCCC1,100MDamines,2.76,-59.57,9.34901564,,,90652-41-8
CCN1CC(O)CC(O)C1,100MDamines,3.52,-60.77,9.376956191,,,629165-64-6
CC(S)CN(C)C,100MDamines,2.46,-58.83,9.919978541,,,1920-46-3
CCN(C)C1COCC1O,100MDamines,2.29,-56.94,9.240752429,,,10295-91-7
CC(C)(C)CC(C)(C)N(CCO)CCO,100MDamines,4.25,-63.16,9.309913916,,,86375-49-7
CC(CO)N1CCN(C(C)CO)CC1,100MDamines,1.7,-53.71,8.417952773,,,46321-78-2
OCCCCN(CCCCO)CCCCO,100MDamines,1.54,-55.28,9.551952074,,,55972-87-7
CC(O)CN(CC(C)O)C1CCCCC1,100MDamines,1.47,-54.59,9.531271686,,,14548-72-2
CCN1CCCCC1CCCO,100MDamines,6.09,-68.74,10.66802793,,,857384-40-8
CC(CCCO)N1CCOCC1,100MDamines,1.14,-50.38,8.399959458,,,71002-70-5
CCCN(CCC)CC(C)(C)CO,100MDamines,5.86,-67.05,10.19443342,,,90854-88-9
CC1CCCC(CO)N1CCO,100MDamines,6.66,-66.64,9.69140001,,,6039-36-7
CC(O)CC1CCCN1C,100MDamines,4.46,-64.22,10.11929292,,,496-47-9
CCC(O)CN(CC(C)O)CC(C)O,100MDamines,2.22,-57.7,9.232525122,,,4134-00-3
CC(C)N(CCCO)CCCO,100MDamines,2.59,-59.58,9.843770537,,,34753-59-8
CN(CCO)CCCN1CCCC1,100MDamines,3.95,-65.03,10.65346418,,,62237-08-5
CCOC(CC)CN(CCO)CCO,100MDamines,1.58,-53.09,8.250445765,,,857832-28-1
CC1(C)CCCN(CCO)C1,100MDamines,5.96,-68.32,10.61321759,,,102450-14-6
CCCCN(CCCC)CC(C)O,100MDamines,3.59,-64.2,10.45291432,,,2109-64-0
CCCC(O)CCCN(C)C1CCCC1,100MDamines,1.7,-56.62,9.916234083,,,1194736-09-8
OCCCN1CCCC(CO)C1,100MDamines,6.07,-66.74,10.07960937,,,106694-61-5
CCN(CC)CCSCCN(CC)CC,100MDamines,1.36,-52.85,8.72918148,,,6006-58-2
CN(CCO)CCN(C)CCO,100MDamines,1.22,-51.87,8.999386791,,,14037-83-3
CC(C)CCN(CCO)CCC(C)C,100MDamines,3.27,-63.33,10.35392385,,,3574-43-4
CCCCN(C)CCCCCO,100MDamines,2.48,-60.57,10.35749078,,,91014-23-2
CCN(CC)C1CCCC1O,100MDamines,3.4,-64.47,10.82712899,,,91425-90-0
OCCN(CCO)CCCN1CCOCC1,100MDamines,0.69,-43.86,7.456974902,,,13297-91-1
OCCCN(CCCO)C1CCCCC1,100MDamines,2.13,-58.21,9.926210948,,,4500-30-5
CC(C)C(O)CCN1CCCCC1,100MDamines,4.15,-65.22,10.46911537,,,1087704-96-8
CCN(CC)CCCN(CCO)CCO,100MDamines,1.32,-52.91,9.039452368,,,58883-81-1
CC1OC(CN(C)C)CC1O,100MDamines,1.36,-51.78,8.427980176,,,14400-71-6
CC(O)CCN(CCO)CCO,100MDamines,1.59,-54.02,8.766914966,,,854464-00-9
CC1CCCCN1CCCCCCO,100MDamines,1.56,-56.01,10.06569525,,,872816-90-5
CN(CCO)C1CCCCC1,100MDamines,3.51,-62.77,10.30455812,,,2842-41-3
CCN(CC)CC(O)CN(CC)CC,100MDamines,1.88,-57.33,9.899963596,,,3492-47-5
OCCCSCCN1CCOCC1,100MDamines,0.69,-38.39,6.252789056,,,854665-75-1
CCCCCCCC1CCCN1CCCO,100MDamines,1.36,-52.85,8.653910192,,,59941-28-5
CCC(O)CCCN1CCCC1,100MDamines,3.41,-62.21,10.08337546,,,1039627-29-6
CCCN(CCCO)CCCO,100MDamines,2.83,-59.61,9.429717512,,,144205-48-1
SCCCCCN1CCCCC1,100MDamines,0.98,-49.55,8.472388871,,,4667-57-6
CC(C)(O)CCN1CCCCC1,100MDamines,5.57,-67.32,10.44006368,,,110513-60-5
CCCCCCCCN(CCO)CCO,100MDamines,0.71,-45.96,7.949840599,,,15520-05-5
CN(CCCO)CCCN(C)CCCO,100MDamines,1.13,-52.49,9.532906639,,,42434-24-2
CN(CCO)CCCO,100MDamines,1.91,-55.45,9.02635257,,,106694-59-1
CCC(O)CN(CC(O)CC)CC(O)CC,100MDamines,1.79,-56.21,9.246271102,,,190329
CCCCN(CCCC)CCCCO,100MDamines,1.86,-58.28,10.23328021,,,94473-23-1
CN(CCO)C1CCCCC1O,100MDamines,2.68,-59.06,9.566699444,,,854815-53-5
CN(C)CC(CO)(CO)CN(C)C,100MDamines,2.6,-58.55,9.17735168,,,82718-59-0
OCCCN1CCCCC1CCO,100MDamines,5.42,-67.27,10.52490709,,,106694-60-4
CCCCN1CCOCC1,100MDamines,1.3,-50.91,8.199839701,,,1005-67-0
CCN(CC)CCCC(O)CO,100MDamines,4.18,-66.49,10.81728285,,,20473-84-1
CN(C)CCCN(CCO)CCO,100MDamines,1.58,-54.05,8.947118443,,,57567-83-6
CN(C)CCN1CCN(CCO)CC1,100MDamines,4.06,-61.02,8.633396483,,,20966-69-2
OCCCCCN1CCOCC1,100MDamines,1.3,-51.66,8.553101805,,,4344-62-1
OCCN(CCO)C1CCCC1,100MDamines,3.25,-60.4,9.409564874,,,98956-90-2
CCN(CCO)C1CCCCC1,100MDamines,4.82,-65.95,10.43325122,,,21461-57-4
CCN(CC(C)O)CC(C)O,100MDamines,2.54,-58.12,9.060100153,,,6852-28-4
OCCCN(CCCO)CCCO,100MDamines,1.99,-56.53,9.209504268,,,14002-34-7
CCCCN(CCCC)CC(O)CO,100MDamines,3.04,-61.1,9.764462005,,,6289-52-7
CN(CCO)CCOCCN(C)CCO,100MDamines,0.9,-49.38,8.812798381,,,115188-50-6
OCCCCCCN1CCCCC1,100MDamines,3.12,-61.99,10.26322642,,,4711-14-2
CCCCCC1CCCN1CCO,100MDamines,2.42,-57.64,8.981133501,,,59941-12-7
CC(C)CCN(CCO)CCO,100MDamines,2.33,-57.59,9.130044048,,,64897-89-8
CN(CCO)CCCCCO,100MDamines,2.4,-58.82,9.898154039,,,40694-17-5
CCCCN(CCO)CCCC,100MDamines,3.55,-63.06,10.20046086,,,2160-93-2
CCCCN(CCS)CCCC,100MDamines,4.91,-70.36,11.24177767,,,139-87-7
CCCN(CCS)CCS,100MDamines,2.58,-60.39,10.177936,,,4847-93-2
CC(CS)CN1CCCC1,100MDamines,3.23,-62.42,10.35501851,,,3040-44-6
CC(C)(C)N(CCO)CCO,Chowdhury,3.69,-61.46,9.464350611,,,2160-93-2
CC(C)N(CCO)CCO,Chowdhury,2.59,-57.89,9.018656933,,,121-93-7
CC(O)CN(C)C,Chowdhury,4.17,-62.75,9.763130211,,,108-16-7
CCN(CC)CC(C)O,Chowdhury,3.5,-62.61,10.31302754,,,4402-32-8
CCN(CC)CC(O)CO,Chowdhury,7,-67.35,9.670138011,0.00129,153,621-56-7
CCN(CC)CCCO,Chowdhury,5.06,-65.56,9.942968838,,,622-93-5
CCN(CC)CCO,Chowdhury,4.83,-64.12,9.7398482,,,100-37-8
CCN(CCO)CCO,Chowdhury,1.5,-52.56,8.512872352,0.0006,597,139-87-7
CCN1CCCC(O)C1,Chowdhury,1.78,-54.95,9.700864365,0.0006,459,13444-24-1
CN(C)C(C)(C)CO,Chowdhury,2.49,-60.13,9.818020957,,,7005-47-2
CN(C)CC(C)(C)CO,Chowdhury,2.27,-57.77,9.650236924,,,19059-68-8
CN(C)CC(O)CO,Chowdhury,2.12,-56.46,9.525323888,,,623-57-4
CN(C)CCCO,Chowdhury,2.91,-59,9.659768321,0.00193,83,3179-63-3
CN(C)CCO,Chowdhury,3.38,-59.89,9.460030677,,,108-01-0
CN(CCO)CCO,Chowdhury,2.61,-57.3,8.409855637,0.0008,357,105-59-9
CN1CCCC(O)C1,Chowdhury,1.96,-55.5,8.890482039,0.0007,406,3554-74-3
CN1CCCCC1CCO,Chowdhury,6.08,-66.37,10.24100087,,,533-15-3
OCC(O)CN1CCCC1,Chowdhury,2.63,-58.87,9.828980729,,,85391-19-1
OCC(O)CN1CCCCC1,Chowdhury,6.6,-66.26,9.883337679,0.00063,660,4847-93-2
OCCN(CCO)CCO,Chowdhury,1.48,-50.94,8.093761872,0.0003,1226,102-71-6
OCCN1CCCC1,Chowdhury,4.78,-63.29,10.10093726,,,2955-88-6
OCCN1CCCCC1,Chowdhury,4.21,-62.68,10.11333293,,,3040-44-6
CC(C)N(CCO)C(C)C,Chowdhury,2,-57.61,10.18026673,,,96-80-0
CCN(C)CCC(C)O,Chowdhury,2.81,-59.49,10.14358351,,,5464-15-3
